Code;Company;IPO
COAL;PT Black Diamond Resources Tbk;07-Sep-22
CRAB;PT Toba Surimi Industries Tbk;10 Agt 2022
MEDS;PT Hetzer Medical Indonesia Tbk;10 Agt 2022
BUAH;PT Segar Kumala Indonesia Tbk;09 Agt 2022
KLIN;PT Klinko Karya Imaji Tbk;09 Agt 2022
TOOL;PT Rohartindo Nusantara Luas Tbk;09 Agt 2022
ELPI;PT Pelayaran Nasional Ekalya Purnamasari Tbk;08 Agt 2022
EURO;PT Estee Gold Feet Tbk;08 Agt 2022
KKES;PT Kusuma Kemindo Sentosa Tbk;08 Agt 2022
MORA;PT Mora Telematika Indonesia Tbk;08 Agt 2022
RAFI;PT Sari Kreasi Boga Tbk;05 Agt 2022
AMMS;PT Agung Menjangan Mas Tbk;04 Agt 2022
JARR;PT Jhonlin Agro Raya Tbk;04 Agt 2022
GULA;PT Aman Agrindo Tbk;03 Agt 2022
RCCC;PT Utama Radar Cahaya Tbk;02 Agt 2022
HATM;PT Habco Trans Maritima Tbk;26-Jul-22
KRYA;PT Bangun Karya Perkasa Jaya Tbk;25-Jul-22
AXIO;PT Tera Data Indonusa Tbk;20-Jul-22
DEWI;PT Dewi Shri Farmindo Tbk;18-Jul-22
ARKO;PT Arkora Hydro Tbk.;08-Jul-22
CHEM;PT Chemstar Indonesia Tbk;08-Jul-22
TRGU;PT Cerestar Indonesia Tbk;08-Jul-22
SWID;PT Saraswanti Indoland Development Tbk;07-Jul-22
ASHA;PT Cilacap Samudera Fishing Industry Tbk;27 Mei 2022
OLIV;PT Oscar Mitra Sukses Sejahtera Tbk;17 Mei 2022
IBOS;PT Indo Boga Sukses Tbk;25-Apr-22
WINR;PT Winner Nusantara Jaya Tbk;25-Apr-22
MTMH;PT Murni Sadar Tbk;20-Apr-22
TLDN;PT Teladan Prima Agro Tbk;12-Apr-22
GOTO;PT GoTo Gojek Tokopedia Tbk;11-Apr-22
SICO;PT Sigma Energy Compressindo Tbk;08-Apr-22
WIRG;PT WIR ASIA Tbk;04-Apr-22
BIKE;PT Sepeda Bersama Indonesia Tbk;21-Mar-22
NANO;PT Nanotech Indonesia Global Tbk;10-Mar-22
STAA;PT Sumber Tani Agung Resources Tbk;10-Mar-22
SMKM;PT Sumber Mas Konstruksi Tbk;09-Mar-22
NTBK;PT Nusatama Berkah Tbk;09-Feb-22
ENAK;PT Champ Resto Indonesia Tbk;08-Feb-22
BAUT;PT Mitra Angkasa Sejahtera Tbk;28-Jan-22
NETV;PT Net Visi Media Tbk;26-Jan-22
ASLC;PT Autopedia Sukses Lestari Tbk;25-Jan-22
SEMA;PT Semacom Integrated Tbk;10-Jan-22
ADMR;PT Adaro Minerals Indonesia Tbk;03-Jan-22
DRMA;PT Dharma Polimetal Tbk;20 Des 2021
BSML;PT Bintang Samudera Mandiri Lines Tbk;16 Des 2021
NASI;PT Wahana Inti Makmur Tbk;13 Des 2021
IPPE;PT Indo Pureco Pratama Tbk;09 Des 2021
AVIA;PT Avia Avian Tbk;08 Des 2021
OBMD;PT OBM Drilchem Tbk;08 Des 2021
RMKE;PT RMK Energy Tbk;07 Des 2021
CMRY;PT Cisarua Mountain Dairy Tbk;06 Des 2021
TAYS;PT Jaya Swarasa Agung Tbk;06 Des 2021
WGSH;PT Wira Global Solusi Tbk;06 Des 2021
WMPP;PT Widodo Makmur Perkasa Tbk;06 Des 2021
BINO;PT Perma Plasindo Tbk;25-Nov-21
DEPO;PT Caturkarda Depo Bangunan Tbk;25-Nov-21
MTEL;PT Dayamitra Telekomunikasi Tbk;22-Nov-21
BOBA;PT Formosa Ingredient Factory Tbk;01-Nov-21
KUAS;PT Ace Oldfields Tbk;25 Okt 2021
IDEA;PT Idea Indonesia Akademi Tbk;09-Sep-21
CMNT;PT Cemindo Gemilang Tbk;08-Sep-21
GTSI;PT GTS Internasional Tbk;08-Sep-21
RSGK;PT Kedoya Adyaraya Tbk;08-Sep-21
RUNS;PT Global Sukses Solusi Tbk;08-Sep-21
SBMA;PT Surya Biru Murni Acetylene Tbk;08-Sep-21
MCOL;PT Prima Andalan Mandiri Tbk;07-Sep-21
GPSO;PT Geoprima Solusi Tbk;06-Sep-21
OILS;PT Indo Oil Perkasa Tbk;06-Sep-21
HAIS;PT Hasnur Internasional Shipping Tbk;01-Sep-21
BUKA;PT Bukalapak.com Tbk;06 Agt 2021
UVCR;PT Trimegah Karya Pratama Tbk.;27-Jul-21
NICL;PT PAM Mineral Tbk;09-Jul-21
FLMC;PT Falmaco Nonwoven Industri Tbk;08-Jul-21
BMHS;PT Bundamedik Tbk;06-Jul-21
IPAC;PT Era Graharealty Tbk;30-Jun-21
MASB;PT Bank Multiarta Sentosa Tbk;30-Jun-21
ARCI;PT Archi Indonesia Tbk;28-Jun-21
LABA;PT Ladangbaja Murni Tbk;10-Jun-21
TRUE;PT Triniti Dinamik Tbk;10-Jun-21
MGLV;PT Panca Anugrah Wisesa Tbk;08-Jun-21
HOPE;PT Harapan Duta Pertiwi Tbk.;24 Mei 2021
ADCP;PT Adhi Commuter Properti Tbk;21 Mei 2021
LUCY;PT Lima Dua Lima Tiga Tbk;05 Mei 2021
NPGF;PT Nusa Palapa Gemilang Tbk;14-Apr-21
TAPG;PT Triputra Agro Persada Tbk.;12-Apr-21
FIMP;PT Fimperkasa Utama Tbk;09-Apr-21
LFLO;PT Imago Mulia Persada Tbk;07-Apr-21
ZYRX;PT Zyrexindo Mandiri Buana Tbk;30-Mar-21
SNLK;PT Sunter Lakeside Hotel Tbk.;29-Mar-21
BEBS;PT Berkah Beton Sadaya Tbk;10-Mar-21
UNIQ;PT Ulima Nitra Tbk;08-Mar-21
EDGE;PT Indointernet Tbk.;08-Feb-21
WMUU;PT Widodo Makmur Unggas Tbk;02-Feb-21
BANK;PT Bank Aladin Syariah Tbk;01-Feb-21
UFOE;PT Damai Sejahtera Abadi Tbk;01-Feb-21
DGNS;PT Diagnos Laboratorium Utama Tbk;15-Jan-21
KETR;PT Ketrosden Triasmitra Tbk;11-Jan-21
DCII;PT DCI Indonesia Tbk;06-Jan-21
FAPA;PT FAP Agri Tbk;04-Jan-21
WIFI;PT Solusi Sinergi Digital Tbk;30 Des 2020
PMMP;PT Panca Mitra Multiperdana Tbk.;18 Des 2020
VICI;PT Victoria Care Indonesia Tbk;17 Des 2020
ATAP;PT Trimitra Prawara Goldland Tbk;11 Des 2020
PTDU;PT Djasa Ubersakti Tbk;08 Des 2020
PLAN;PT Planet Properindo Jaya Tbk;15-Sep-20
ENZO;PT Morenzo Abadi Perkasa Tbk;14-Sep-20
HOMI;PT Grand House Mulia Tbk;10-Sep-20
ROCK;PT Rockfields Properti Indonesia Tbk.;10-Sep-20
PURI;PT Puri Global Sukses Tbk;08-Sep-20
SOHO;PT Soho Global Health Tbk;08-Sep-20
BBSI;PT Krom Bank Indonesia Tbk;07-Sep-20
KMDS;PT Kurniamitra Duta Sentosa Tbk.;07-Sep-20
SCNP;PT Selaras Citra Nusantara Perkasa Tbk;07-Sep-20
PNGO;PT Pinago Utama Tbk;31 Agt 2020
TRJA;PT Transkon Jaya Tbk.;27 Agt 2020
SGER;PT Sumber Global Energy Tbk.;10 Agt 2020
TOYS;PT Sunindo Adipersada Tbk.;06 Agt 2020
PPGL;PT Prima Globalindo Logistik Tbk.;20-Jul-20
PGUN;PT Pradiksi Gunatama Tbk;07-Jul-20
SOFA;PT Boston Furniture Industries Tbk..;07-Jul-20
UANG;PT Pakuan Tbk;06-Jul-20
EPAC;PT Megalestari Epack Sentosaraya Tbk.;01-Jul-20
TECH;PT Indosterling Technomedia Tbk;04-Jun-20
CASH;PT Cashlez Worldwide Indonesia Tbk.;04 Mei 2020
BBSS;PT Bumi Benowo Sukses Sejahtera Tbk;15-Apr-20
BHAT;PT Bhakti Multi Artha Tbk.;15-Apr-20
CBMF;PT Cahaya Bintang Medan Tbk;09-Apr-20
CSMI;PT Cipta Selera Murni Tbk.;09-Apr-20
RONY;PT Aesler Grup Internasional Tbk;09-Apr-20
KBAG;PT Karya Bersama Anugerah Tbk;08-Apr-20
SBAT;PT Sejahtera Bintang Abadi Textile Tbk.;08-Apr-20
SAMF;PT Saraswanti Anugerah Makmur Tbk.;31-Mar-20
AMAN;PT Makmur Berkah Amanda Tbk.;13-Mar-20
CARE;PT Metro Healthcare Indonesia Tbk;13-Mar-20
BESS;PT Batulicin Nusantara Maritim Tbk.;09-Mar-20
ESTA;PT Esta Multi Usaha Tbk.;09-Mar-20
ASPI;PT Andalan Sakti Primaindo Tbk.;17-Feb-20
DADA;PT Diamond Citra Propertindo Tbk.;14-Feb-20
AYLS;PT Agro Yasa Lestari Tbk;12-Feb-20
IKAN;PT Era Mandiri Cemerlang Tbk;12-Feb-20
TAMA;PT Lancartama Sejati Tbk.;10-Feb-20
PTPW;PT Pratama Widya Tbk.;07-Feb-20
PURA;PT Putra Rajawali Kencana Tbk.;29-Jan-20
DMND;PT Diamond Food Indonesia Tbk.;22-Jan-20
TRIN;PT Perintis Triniti Properti Tbk;15-Jan-20
AMOR;PT Ashmore Asset Management Indonesia Tbk.;14-Jan-20
INDO;PT Royalindo Investa Wijaya Tbk;13-Jan-20
AMAR;PT Bank Amar Indonesia Tbk.;09-Jan-20
CSRA;PT Cisadane Sawit Raya Tbk.;09-Jan-20
PGJO;PT Tourindo Guide Indonesia Tbk.;08-Jan-20
GLVA;PT Galva Technologies Tbk;23 Des 2019
UCID;PT Uni-Charm Indonesia Tbk.;20 Des 2019
PMJS;PT Putra Mandiri Jembar Tbk;18 Des 2019
IFII;PT Indonesia Fibreboard Industry Tbk;10 Des 2019
REAL;PT Repower Asia Indonesia Tbk.;06 Des 2019
IFSH;PT Ifishdeco Tbk.;05 Des 2019
AGAR;PT Asia Sejahtera Mina Tbk;02 Des 2019
