Date,Close
2021-12-08,168.0
2021-12-09,157.0
2021-12-10,147.0
2021-12-13,144.0
2021-12-14,141.0
2021-12-15,150.0
2021-12-16,146.0
2021-12-17,141.0
2021-12-20,138.0
2021-12-21,129.0
2021-12-22,129.0
2021-12-23,129.0
2021-12-24,121.0
2021-12-27,121.0
2021-12-28,120.0
2021-12-29,135.0
2021-12-30,126.0
2022-01-03,126.0
2022-01-04,123.0
2022-01-05,123.0
2022-01-06,122.0
2022-01-07,124.0
2022-01-10,126.0
2022-01-11,121.0
2022-01-12,124.0
2022-01-13,121.0
2022-01-14,128.0
2022-01-17,123.0
2022-01-18,121.0
2022-01-19,137.0
2022-01-20,128.0
2022-01-21,123.0
2022-01-24,120.0
2022-01-25,118.0
2022-01-26,132.0
2022-01-27,123.0
2022-01-28,117.0
2022-01-31,117.0
2022-02-02,120.0
2022-02-03,121.0
2022-02-04,121.0
2022-02-07,128.0
2022-02-08,120.0
2022-02-09,119.0
2022-02-10,119.0
2022-02-11,119.0
2022-02-14,118.0
2022-02-15,119.0
2022-02-16,118.0
2022-02-17,118.0
2022-02-18,118.0
2022-02-21,119.0
2022-02-22,119.0
2022-02-23,118.0
2022-02-24,115.0
2022-02-25,115.0
2022-03-01,120.0
2022-03-02,116.0
2022-03-04,114.0
2022-03-07,112.0
2022-03-08,116.0
2022-03-09,116.0
2022-03-10,113.0
2022-03-11,114.0
2022-03-14,114.0
2022-03-15,112.0
2022-03-16,112.0
2022-03-17,111.0
2022-03-18,108.0
2022-03-21,107.0
2022-03-22,107.0
2022-03-23,107.0
2022-03-24,100.0
2022-03-25,100.0
2022-03-28,100.0
2022-03-29,99.0
2022-03-30,100.0
2022-03-31,99.0
2022-04-01,97.0
2022-04-04,97.0
2022-04-05,96.0
2022-04-06,96.0
2022-04-07,103.0
2022-04-08,101.0
2022-04-11,106.0
2022-04-12,106.0
2022-04-13,100.0
2022-04-14,104.0
2022-04-18,104.0
2022-04-19,105.0
2022-04-20,102.0
2022-04-21,99.0
2022-04-22,102.0
2022-04-25,99.0
2022-04-26,96.0
2022-04-27,94.0
2022-04-28,94.0
2022-05-09,94.0
2022-05-10,96.0
2022-05-11,95.0
2022-05-12,96.0
2022-05-13,97.0
2022-05-17,98.0
2022-05-18,99.0
2022-05-19,99.0
2022-05-20,99.0
2022-05-23,98.0
2022-05-24,102.0
2022-05-25,102.0
2022-05-27,109.0
2022-05-30,116.0
2022-05-31,122.0
2022-06-02,114.0
2022-06-03,116.0
2022-06-06,146.0
2022-06-07,136.0
2022-06-08,134.0
2022-06-09,150.0
2022-06-10,155.0
2022-06-13,157.0
2022-06-14,160.0
2022-06-15,156.0
2022-06-16,159.0
2022-06-17,161.0
2022-06-20,165.0
2022-06-21,175.0
2022-06-22,178.0
2022-06-23,166.0
2022-06-24,155.0
2022-06-27,162.0
2022-06-28,172.0
2022-06-29,170.0
2022-06-30,159.0
2022-07-01,154.0
2022-07-04,149.0
2022-07-05,146.0
2022-07-06,142.0
2022-07-07,142.0
2022-07-08,145.0
2022-07-11,151.0
2022-07-12,151.0
2022-07-13,148.0
2022-07-14,151.0
2022-07-15,147.0
2022-07-18,144.0
2022-07-19,145.0
2022-07-20,147.0
2022-07-21,147.0
2022-07-22,155.0
2022-07-25,155.0
2022-07-26,152.0
2022-07-27,152.0
2022-07-28,153.0
2022-07-29,150.0
2022-08-01,152.0
2022-08-02,149.0
2022-08-03,148.0
2022-08-04,146.0
2022-08-05,144.0
2022-08-08,140.0
2022-08-09,141.0
2022-08-10,142.0
2022-08-11,144.0
2022-08-12,145.0
2022-08-15,150.0
2022-08-16,152.0
2022-08-18,150.0
2022-08-19,149.0
2022-08-22,147.0
2022-08-23,151.0
2022-08-24,152.0
2022-08-25,156.0
2022-08-26,161.0
2022-08-29,170.0
2022-08-30,159.0
2022-08-31,156.0
2022-09-01,157.0
2022-09-02,154.0
2022-09-05,182.0
2022-09-06,189.0
2022-09-07,238.0
2022-09-08,250.0
2022-09-09,310.0
2022-09-12,298.0
2022-09-13,292.0
2022-09-14,364.0
2022-09-15,354.0
2022-09-16,410.0
2022-09-19,400.0
2022-09-20,406.0
2022-09-21,404.0
2022-09-22,420.0
2022-09-23,408.0
2022-09-26,410.0
2022-09-27,432.0
2022-09-28,412.0
2022-09-29,458.0
2022-09-30,458.0
2022-10-03,426.0
2022-10-04,404.0
2022-10-05,408.0
2022-10-06,416.0
2022-10-07,408.0
2022-10-10,380.0
2022-10-11,376.0
2022-10-12,350.0
2022-10-13,326.0
2022-10-14,304.0
2022-10-17,284.0
2022-10-18,266.0
2022-10-19,248.0
2022-10-20,290.0
2022-10-21,272.0
2022-10-24,280.0
2022-10-25,282.0
2022-10-26,278.0
2022-10-27,300.0
2022-10-28,280.0
2022-10-31,262.0
2022-11-01,256.0
2022-11-02,256.0
2022-11-03,256.0
2022-11-04,266.0
2022-11-07,278.0
2022-11-08,270.0
2022-11-09,278.0
2022-11-10,274.0
2022-11-11,268.0
2022-11-14,260.0
2022-11-15,254.0
2022-11-16,256.0
2022-11-17,248.0
2022-11-18,238.0
2022-11-21,226.0
2022-11-22,214.0
2022-11-23,208.0
2022-11-24,202.0
2022-11-25,220.0
2022-11-28,210.0
2022-11-29,208.0
2022-11-30,210.0
2022-12-01,210.0
2022-12-02,212.0
2022-12-05,216.0
2022-12-06,204.0
2022-12-07,199.0
2022-12-08,204.0
2022-12-09,197.0
2022-12-12,199.0
2022-12-13,208.0
2022-12-14,204.0
2022-12-15,202.0
2022-12-16,198.0
2022-12-19,194.0
2022-12-20,191.0
2022-12-21,189.0
2022-12-22,193.0
2022-12-23,194.0
2022-12-26,194.0
2022-12-27,189.0
2022-12-28,188.0
2022-12-29,188.0
2022-12-30,186.0
2023-01-02,181.0
2023-01-03,185.0
2023-01-04,181.0
2023-01-05,179.0
2023-01-06,177.0
2023-01-09,168.0
2023-01-10,169.0
2023-01-11,166.0
2023-01-12,174.0
2023-01-13,171.0
2023-01-16,166.0
2023-01-17,165.0
2023-01-18,176.0
2023-01-19,179.0
2023-01-20,179.0
2023-01-24,181.0
2023-01-25,181.0
2023-01-26,177.0
2023-01-27,178.0
2023-01-30,178.0
2023-01-31,175.0
2023-02-01,173.0
2023-02-02,175.0
2023-02-03,175.0
2023-02-06,170.0
2023-02-07,170.0
2023-02-08,171.0
