,y_actual,y_predict
0,300.0422668457031,266.791846028031
1,300.0422668457031,261.0667108732911
2,308.376708984375,255.5451060714352
3,304.20947265625,255.4332950220837
4,304.20947265625,260.7791137973493
5,304.20947265625,264.71903145540296
6,304.20947265625,261.26019907533794
7,295.8749694824219,261.295290772185
8,291.707763671875,265.1495114395506
9,279.2059326171875,254.09934900494054
10,275.0386962890625,252.9143379854255
11,275.0386962890625,242.99098452709774
12,275.0386962890625,240.0801267848048
13,275.0386962890625,236.88532704148565
14,275.0386962890625,238.50632298995492
15,275.0386962890625,241.32665993596865
16,275.0386962890625,241.6820917780366
17,275.0386962890625,241.6820917780366
18,283.37322998046875,241.6820917780366
19,283.37322998046875,246.16604984353071
20,283.37322998046875,245.5605691900302
21,283.37322998046875,251.53371718270085
22,283.37322998046875,245.79443815354227
23,283.37322998046875,248.7840288894082
24,283.37322998046875,248.14138334483664
25,283.37322998046875,248.14138334483664
26,283.37322998046875,248.14138334483664
27,266.7041931152344,248.14138334483664
28,270.8714904785156,244.04353071853785
29,270.8714904785156,238.66182000089893
30,250.03518676757807,239.61127223611606
31,266.7041931152344,241.44767194783668
32,250.03518676757807,235.15820737001002
33,250.03518676757807,231.49232355674508
34,250.03518676757807,216.09581923266194
35,250.03518676757807,223.68722000657908
36,250.03518676757807,220.05450916193413
37,250.03518676757807,222.86209614957392
38,229.19894409179688,221.64104430479688
39,212.5299072265625,213.83612313616945
40,225.0316619873047,201.889772250263
41,225.0316619873047,202.04781236704818
42,225.0316619873047,203.10653161525758
43,229.19894409179688,205.74882509788236
44,229.19894409179688,207.1586771947509
45,229.19894409179688,209.17641068169888
46,229.19894409179688,207.8505024795049
47,220.86441040039065,208.1231182147796
48,225.0316619873047,205.27928754894208
49,229.19894409179688,202.78416107964318
50,237.53338623046875,207.51964748027544
51,225.0316619873047,212.89645995087886
52,225.0316619873047,215.75056539706705
53,220.86441040039065,205.850566080855
54,216.6971893310547,205.85571928983725
55,216.6971893310547,204.23132601995334
56,216.6971893310547,198.53940198507362
57,216.6971893310547,196.46279089878587
58,216.6971893310547,196.55444041346442
59,216.6971893310547,198.28239662067045
60,216.6971893310547,199.12436099341434
61,216.6971893310547,199.12436099341434
