,y_actual,y_predict
0,24000000.0,23121771.481405076
1,24000000.0,23172973.46506632
2,23500000.0,23344129.4403262
3,22500000.0,23042583.133512817
4,22500000.0,22407456.381187722
5,22500000.0,22098272.155992545
6,22500000.0,21974218.825920645
7,23500000.0,21757642.481167004
8,25500000.0,22723466.391670935
9,24000000.0,24643775.502619747
10,23500000.0,23537265.64737369
11,23500000.0,23304424.081492238
12,23500000.0,23020584.639473103
13,23000000.0,22762984.830983322
14,23000000.0,22347347.789748214
15,23000000.0,22389533.592118546
16,24500000.0,22436350.486773536
17,25500000.0,24342969.354141816
18,26000000.0,24533934.50168865
19,26000000.0,25236733.640576493
20,25000000.0,25117136.300019037
21,25000000.0,24552802.63086697
22,24500000.0,24403978.167185254
23,25000000.0,24019480.414295163
24,25000000.0,24263225.618935436
25,25000000.0,24462082.207893338
26,24000000.0,24433739.19262115
27,24500000.0,23773889.64794182
28,24500000.0,23663895.029242992
29,24000000.0,23498598.01415953
30,23500000.0,23177298.396065634
31,23500000.0,22900371.753594577
32,23500000.0,22932593.88606461
33,23500000.0,22921676.28205418
34,23500000.0,22854454.006293394
35,24000000.0,22764956.0799609
36,24000000.0,23076235.09289792
37,25000000.0,23169813.02120145
38,25000000.0,24065401.384346716
39,24500000.0,24221450.18011248
40,24000000.0,24158312.20332323
41,24000000.0,23578172.01784631
42,24000000.0,23372841.997641053
43,23000000.0,23230510.30170892
44,24000000.0,22620149.31174303
45,24000000.0,23241961.808030993
46,24000000.0,23194700.17382466
47,23500000.0,23225904.991427243
48,24500000.0,22837564.64584353
49,24500000.0,23447881.59155434
50,25000000.0,23629714.538796872
51,25500000.0,24202779.712956984
52,25000000.0,24748691.0667322
53,26500000.0,25793194.130569603
54,26500000.0,25696881.161450315
55,26000000.0,25915267.617662933
56,26500000.0,25528034.823957082
57,26500000.0,25765609.535884976
58,26000000.0,25680937.141109586
59,26000000.0,25373607.07162847
60,26000000.0,25242501.289492365
61,25500000.0,25196675.92770185
62,25500000.0,24818380.89502786
63,25500000.0,24626938.780425955
64,26500000.0,24514005.013387803
65,26500000.0,25333305.50397567
66,27000000.0,25577103.34687202
67,27000000.0,26158911.842791546
68,27000000.0,26337091.26536228
69,27000000.0,26210746.55977584
70,27000000.0,26251297.35345741
71,26500000.0,26168870.141441226
72,26500000.0,26191397.166541964
73,26500000.0,25940127.91403304
74,27000000.0,25875831.895610094
75,27000000.0,26022078.15899416
76,26000000.0,26022185.584006563
77,26000000.0,25324589.03846936
78,26000000.0,25154135.62279059
79,27000000.0,24993088.341197755
80,27000000.0,25795710.02436006
81,27500000.0,25970314.34251805
82,27000000.0,26562520.505387984
83,27000000.0,26368983.603044234
84,27500000.0,26381425.567980655
85,27000000.0,26565014.91417596
86,27000000.0,26237024.86630966
87,27000000.0,26174905.278637983
88,26000000.0,26260550.944025736
89,26000000.0,25622104.758817412
90,26500000.0,25312000.975516073
91,26500000.0,25460213.116627097
92,26000000.0,25475777.926674046
93,26000000.0,25215643.9621417
94,26000000.0,25184448.812790234
95,26000000.0,25138898.459031466
96,26000000.0,25096513.920388192
97,26000000.0,25126407.078589343
98,25500000.0,25162145.231715295
99,25500000.0,24803758.202339675
