,y_actual,y_predict
0,-5737.931640625,-6331.275723997303
1,-5737.931640625,-6367.317680296147
2,-5737.931640625,-5973.055275592175
3,-5737.931640625,-6184.427386001377
4,-5737.931640625,-5806.453883190757
5,-5737.931640625,-5718.643839626977
6,-5737.931640625,-5642.6649778170595
7,-6620.6904296875,-5660.566290216457
8,-6620.6904296875,-6225.746943778449
9,-6758.621582031251,-6462.386990158563
10,-6786.20751953125,-6615.798481690126
11,-6703.44921875,-6704.720391022706
12,-6703.44921875,-6692.68680320023
13,-6703.44921875,-6653.007008100638
14,-6703.44921875,-6612.339799612271
15,-6703.44921875,-6554.688260271839
16,-6703.44921875,-6546.337642332978
17,-6703.44921875,-6554.079674457428
18,-6703.44921875,-6589.9055486019415
19,-6703.44921875,-6614.735849829907
20,-6703.44921875,-6608.433225727182
21,-6703.44921875,-6600.868982717055
22,-6703.44921875,-6582.227794080362
23,-6703.44921875,-6577.921194688048
24,-6703.44921875,-6576.479735253465
25,-6703.44921875,-6576.593930569203
26,-6703.44921875,-6578.358829430995
27,-6703.44921875,-6578.358829430995
28,-6703.44921875,-6578.358829430995
29,-6703.44921875,-6578.358829430995
30,-6703.44921875,-6578.358829430995
31,-6703.44921875,-6578.358829430995
32,-6703.44921875,-6578.358829430995
33,-6703.44921875,-6578.358829430995
34,-6703.44921875,-6578.358829430995
35,-6703.44921875,-6578.358829430995
36,-6703.44921875,-6578.358829430995
37,-6703.44921875,-6578.358829430995
38,-6703.44921875,-6578.358829430995
39,-6703.44921875,-6578.358829430995
40,-6703.44921875,-6578.358829430995
41,-5517.2421875,-6578.358829430995
42,-5517.2421875,-5948.160012957053
43,-5517.2421875,-5660.95674246368
44,-5517.2421875,-5522.24020503514
45,-5517.2421875,-5423.609642451991
46,-5517.2421875,-5347.069377323387
47,-5517.2421875,-5358.804142672944
48,-5517.2421875,-5402.151180157577
49,-5517.2421875,-5632.46808830639
50,-5517.2421875,-5495.2060025938645
51,-5517.2421875,-5471.681083747596
52,-5517.2421875,-5412.439699442551
53,-5517.2421875,-5383.549652169464
54,-5517.2421875,-5367.305881358979
55,-5517.2421875,-5370.370692168181
56,-5517.2421875,-5394.752417784626
57,-5517.2421875,-5399.495284311316
58,-5517.2421875,-5403.7936780522
59,-5517.2421875,-5405.015636311023
60,-5517.2421875,-5404.733908945251
61,-5517.2421875,-5397.860992068123
62,-5517.2421875,-5399.193042816968
63,-4965.517578125,-5395.783594647695
64,-4965.517578125,-5201.8970436320915
65,-4965.517578125,-5001.521189943724
66,-4965.517578125,-4935.058148575764
67,-4965.517578125,-4873.3892590559335
68,-4965.517578125,-4834.61208561367
69,-4689.65576171875,-4829.468509775469
70,-4689.65576171875,-4700.122826280286
71,-4689.65576171875,-4651.763503380336
72,-4689.65576171875,-4621.604999156989
73,-4689.65576171875,-4591.508037319369
74,-4689.65576171875,-4561.666818284659
75,-4689.65576171875,-4553.787341498752
76,-4689.65576171875,-4562.691840909154
77,-4689.65576171875,-4575.463253556069
78,-4689.65576171875,-4582.344376084626
79,-4689.65576171875,-4578.868598899626
80,-4689.65576171875,-4572.543409255468
81,-4689.65576171875,-4567.29521136153
82,-4689.65576171875,-4568.435796910337
83,-4689.65576171875,-4570.564479652203
84,-4689.65576171875,-4574.918945344527
85,-4689.65576171875,-4574.918945344527
86,-4689.65576171875,-4574.918945344527
87,-4689.65576171875,-4574.918945344527
88,-4689.65576171875,-4574.918945344527
89,-4413.79345703125,-4574.918945344527
90,-4413.79345703125,-4428.360540365804
91,-4413.79345703125,-4361.567905332062
92,-4413.79345703125,-4329.308754342568
93,-4413.79345703125,-4306.372590986421
94,-4413.79345703125,-4288.571797817043
95,-4413.79345703125,-4291.301544526177
96,-4413.79345703125,-4301.382187308251
97,-4413.79345703125,-4309.2295252927215
98,-4413.79345703125,-4309.07635313269
99,-4413.79345703125,-4304.423748771733
100,-4413.79345703125,-4298.099926736148
101,-4413.79345703125,-4292.85172884221
102,-4413.79345703125,-4293.99163058673
103,-4413.79345703125,-4296.11962952431
104,-4413.79345703125,-4300.47477902092
105,-4413.79345703125,-4300.47477902092
106,-4413.79345703125,-4300.47477902092
107,-4413.79345703125,-4300.47477902092
108,-4413.79345703125,-4300.47477902092
109,-4413.79345703125,-4300.47477902092
110,-4413.79345703125,-4300.47477902092
111,-4413.79345703125,-4300.47477902092
112,-4413.79345703125,-4300.47477902092
113,-4413.79345703125,-4300.47477902092
114,-4413.79345703125,-4300.47477902092
115,-4413.79345703125,-4300.47477902092
116,-4413.79345703125,-4300.47477902092
117,-4413.79345703125,-4300.47477902092
118,-4413.79345703125,-4300.47477902092
119,-4413.79345703125,-4300.47477902092
120,-4413.79345703125,-4300.47477902092
121,-4413.79345703125,-4300.47477902092
122,-4413.79345703125,-4300.47477902092
123,-4413.79345703125,-4300.47477902092
124,-4413.79345703125,-4300.47477902092
125,-4413.79345703125,-4300.47477902092
126,-4413.79345703125,-4300.474095216636
127,-4413.79345703125,-4300.474095216636
128,-4413.79345703125,-4300.47477902092
129,-4413.79345703125,-4300.47477902092
130,-4413.79345703125,-4300.47477902092
131,-4413.79345703125,-4300.47477902092
132,-4413.79345703125,-4300.47477902092
133,-4413.79345703125,-4300.47477902092
134,-4413.79345703125,-4300.47477902092
135,-4413.79345703125,-4300.47477902092
136,-4468.9658203125,-4300.47477902092
137,-4468.9658203125,-4329.78673353838
138,-4468.9658203125,-4343.144166458271
139,-4468.9658203125,-4349.595859895313
140,-4468.9658203125,-4354.183502849113
141,-4468.9658203125,-4357.744071765561
142,-4468.9658203125,-4357.198395945448
143,-4468.9658203125,-4355.181173302177
144,-4468.9658203125,-4353.6125262704245
145,-4468.9658203125,-4353.642613659002
146,-4468.9658203125,-4354.572587487764
147,-4468.9658203125,-4355.837625416598
148,-4468.9658203125,-4356.887948799671
149,-4468.9658203125,-4356.658190559623
150,-4468.9658203125,-4356.235599510965
151,-4468.9658203125,-4355.364432850785
152,-4468.9658203125,-4355.364432850785
153,-4468.9658203125,-4355.364432850785
154,-4468.9658203125,-4355.364432850785
155,-4468.9658203125,-4355.364432850785
156,-4468.9658203125,-4355.364432850785
157,-4468.9658203125,-4355.364432850785
158,-4468.9658203125,-4355.363749046499
159,-4468.9658203125,-4355.363749046499
160,-4468.9658203125,-4355.364432850785
161,-4468.9658203125,-4355.364432850785
162,-4468.9658203125,-4355.364432850785
163,-4468.9658203125,-4355.364432850785
164,-4468.9658203125,-4355.364432850785
165,-4468.9658203125,-4355.364432850785
166,-4468.9658203125,-4355.364432850785
167,-4468.9658203125,-4355.364432850785
168,-4468.9658203125,-4355.364432850785
169,-4468.9658203125,-4355.364432850785
170,-4468.9658203125,-4355.364432850785
171,-3862.0693359375,-4355.364432850785
172,-3862.0693359375,-4129.698077650071
173,-3862.0693359375,-3915.964107237527
174,-3862.0693359375,-3843.056894279671
175,-3862.0693359375,-3776.792156154608
176,-3862.0693359375,-3734.4564652087556
177,-3862.0693359375,-3729.858565190667
178,-3862.0693359375,-3749.0844064917655
179,-3862.0693359375,-3769.0897846787375
180,-3724.138427734375,-3771.157608839163
181,-3724.138427734375,-3689.790369256709
182,-3724.138427734375,-3643.0872203371
183,-3724.138427734375,-3615.2994655728126
184,-3724.138427734375,-3602.8829473502574
185,-3724.138427734375,-3599.3333193023846
186,-3724.138427734375,-3608.6022863971484
187,-3724.138427734375,-3614.8194349641417
188,-3724.138427734375,-3618.7417363478053
189,-3724.138427734375,-3618.6651502677905
190,-3724.138427734375,-3616.3402156958837
191,-3724.138427734375,-3613.1783046780893
192,-3724.138427734375,-3610.553863828978
193,-3724.138427734375,-3611.1241566033823
194,-3724.138427734375,-3612.1867884636013
195,-3724.138427734375,-3614.364705114049
196,-3724.138427734375,-3614.364705114049
197,-3724.138427734375,-3614.364705114049
198,-3724.138427734375,-3614.364705114049
199,-3724.138427734375,-3614.364705114049
200,-3724.138427734375,-3614.364705114049
201,-3724.138427734375,-3614.364705114049
202,-3724.138427734375,-3614.364705114049
203,-3724.138427734375,-3614.364705114049
204,-3724.138427734375,-3614.364705114049
205,-3724.138427734375,-3614.364705114049
206,-3724.138427734375,-3614.364705114049
207,-3724.138427734375,-3614.364705114049
208,-3724.138427734375,-3614.364705114049
209,-3724.138427734375,-3614.364705114049
210,-3724.138427734375,-3614.364705114049
211,-3724.138427734375,-3614.364705114049
212,-3724.138427734375,-3614.364705114049
213,-3724.138427734375,-3614.364705114049
214,-3724.138427734375,-3614.364705114049
215,-3586.207275390625,-3614.364705114049
216,-3586.207275390625,-3541.0861864289727
217,-3586.207275390625,-3507.69192032496
218,-3586.207275390625,-3491.560293417355
219,-3586.207275390625,-3480.093579347853
220,-3586.207275390625,-3471.1918151545924
221,-3724.138427734375,-3472.5573723134457
222,-3724.138427734375,-3550.876896193844
223,-3724.138427734375,-3588.1955150943795
224,-3724.138427734375,-3604.2478207048243
225,-3724.138427734375,-3613.3909678109903
226,-3724.138427734375,-3619.128769573601
227,-3724.138427734375,-3615.139455369923
228,-3724.138427734375,-3610.670110557574
229,-3724.138427734375,-3607.8104410341293
230,-3724.138427734375,-3610.064259960307
231,-3724.138427734375,-3612.390562140785
232,-3724.138427734375,-3615.553156962864
233,-3724.138427734375,-3618.176230203404
234,-3724.138427734375,-3617.606621233286
