,y_actual,y_predict
<<<<<<< HEAD
0,97.0,204.50665713500325
1,96.0,184.04737515555075
2,97.0,202.35597227157473
3,96.0,177.1095674439863
4,97.0,204.08953602055385
5,96.0,204.19789384780722
6,98.0,206.25733851392113
7,97.0,191.26972309307712
8,98.0,207.52969517700512
9,97.0,189.6047913509276
10,98.0,193.251976937392
11,97.0,199.41238587042028
12,95.0,213.06224236284834
13,93.0,199.70677680795063
14,95.0,199.25606638192357
15,94.0,198.62190663881768
16,96.0,209.25922174911193
17,98.0,200.79875240837896
18,96.0,190.80383288201006
19,97.0,177.0015325908828
20,97.0,174.2544759598734
21,95.0,194.76995544138867
22,96.0,196.1419496296819
23,96.0,194.2381785037652
24,97.0,191.0896650045712
25,97.0,180.4588093772727
26,95.0,188.6219810131272
27,94.0,192.7410318324297
28,94.0,190.48182765467288
29,95.0,192.47942277110258
30,96.0,194.1858566914998
31,94.0,186.5631822953129
32,95.0,200.93133329686634
33,94.0,203.09897430315857
34,93.0,197.71612563574138
35,93.0,198.29231151896056
36,93.0,195.90730890986197
37,91.0,200.8962906016145
38,88.0,210.82871462999958
39,91.0,202.4631996893038
40,90.0,201.85245557205747
41,92.0,199.40560341327478
42,89.0,189.95021220412434
43,89.0,200.26277680680823
44,90.0,193.42993569392434
45,85.0,178.72912131809085
46,89.0,194.77996764003205
47,89.0,191.64485756805425
48,82.0,187.45329905212463
49,80.0,192.4665038051112
50,78.0,170.87019133133526
51,80.0,190.06712884634703
52,80.0,192.74313116440328
53,80.0,189.45057119440457
54,80.0,189.12275243237116
55,84.0,189.6503307060475
56,84.0,180.12501559346822
57,84.0,190.54852181660385
58,79.0,180.42182883712212
59,89.0,180.59558892970722
60,85.0,182.7302865727213
61,84.0,175.74031853596637
62,82.0,181.50895982530358
63,82.0,184.77212914767176
64,82.0,178.42003505674518
65,82.0,179.8869836450756
66,85.0,181.45082447834193
67,85.0,176.58408850228363
68,80.0,181.38493775178551
69,80.0,182.56088663115827
70,76.0,179.39590145032514
71,75.0,180.57152735554814
72,87.0,178.72960577931553
73,87.0,180.57782535146896
74,80.0,181.8784422526594
75,80.0,182.74934204755868
76,80.0,181.84065427713438
77,80.0,180.18379688872938
78,75.0,179.24200426795187
79,78.0,185.01452124708658
80,78.0,180.73511376241504
81,75.0,181.0199769625267
82,73.0,180.89094878968706
