,y_actual,y_predict
0,17675.0,18758.663055011322
1,18775.0,18203.21684406384
2,18725.0,19594.589446846436
3,17425.0,18181.040459398504
4,16225.0,16030.323187995642
5,15475.0,15897.418977097135
6,14400.0,14511.274182959081
7,13400.0,14217.519800024427
8,12475.0,14033.946781361024
9,14950.0,13163.297555473731
10,13950.0,14038.940692631462
11,12975.0,14580.885278825612
12,12300.0,12717.506318305754
13,12475.0,12063.513073648213
14,12500.0,12522.63176700583
15,12500.0,11892.584433722057
16,12425.0,13437.33916483912
17,12300.0,12778.880341803231
18,12200.0,12447.195412523957
19,11875.0,12170.675300326566
20,11200.0,12968.614654340545
21,11225.0,11986.920990964898
22,11500.0,12482.579472024725
23,12075.0,13037.19822042798
24,12200.0,13546.4036489157
25,12300.0,13596.338229352621
26,12250.0,13582.194965020786
27,11975.0,13679.14469818577
28,11950.0,13600.35964552022
29,12000.0,13551.70640183997
30,12075.0,13604.099413638727
31,12200.0,13520.966621548701
32,12175.0,13495.703115278611
33,12150.0,13504.546864020074
34,12175.0,13207.491047976646
35,12200.0,13233.27641247103
36,12175.0,13403.841823533874
37,11950.0,13511.01311474714
38,12000.0,13586.525870308997
39,11950.0,13347.596384396975
40,12000.0,13155.540903455081
41,11750.0,13083.686982664292
42,11950.0,13074.738344304547
43,11900.0,13219.415443655065
44,11700.0,13266.095856058117
45,11650.0,13056.35028776618
46,11700.0,13005.933344578518
47,11675.0,12943.86976896085
48,11775.0,12910.496093810494
49,11775.0,13050.569056891845
50,11000.0,13072.13034811664
51,11250.0,12818.182222786874
52,11200.0,12710.021602334502
53,11200.0,12705.069776404733
54,11175.0,12590.54585244324
55,10825.0,12568.68219423241
56,11000.0,12518.993003704927
57,10925.0,12402.682071431958
58,11150.0,12312.140964450666
59,11600.0,12496.322601886815
60,11650.0,12738.292591795464
61,13975.0,13013.589639246342
62,16750.0,14245.482595298336
63,20100.0,16306.770460180338
64,18700.0,19853.108040172832
65,17500.0,22074.001362674033
66,21000.0,20818.770102354178
67,25200.0,23362.355161967138
68,30225.0,28205.664040821433
69,36250.0,34758.49273071131
70,40875.0,38413.244576267054
71,38800.0,38721.204380344374
72,36100.0,36977.76022366246
73,33575.0,35077.67442901127
74,31225.0,31622.46278036867
75,29050.0,29062.352588008718
76,27025.0,26344.131979290156
77,25150.0,24648.981722225853
78,23400.0,23773.139327166722
79,28075.0,26223.811932718396
80,33675.0,32752.24310315579
81,39225.0,38017.82366467861
82,36500.0,36039.56791080242
83,33950.0,33192.440227348714
84,38100.0,33422.180864725786
85,37100.0,33539.73622814899
86,35550.0,34438.70888830639
87,33075.0,31473.791458455293
88,30925.0,30638.446653654886
89,33000.0,30316.03927585935
90,32150.0,30928.810900531975
91,32300.0,31815.84427327502
92,31250.0,31673.76157331004
93,31500.0,31293.371603008156
94,31625.0,31203.502566544004
95,31425.0,30290.033125193157
96,31325.0,29585.161941000933
97,31000.0,28785.563777097825
98,30125.0,29031.24893138736
99,30100.0,28960.75792816746
100,29400.0,28636.38743109642
101,27450.0,28352.147572486814
102,28500.0,27616.83832752258
103,28425.0,27339.954986461875
104,27575.0,27230.649644743313
105,26975.0,27025.517277255458
106,26450.0,26699.422899883946
107,25075.0,26661.137541744152
108,27475.0,26344.84840128169
109,26500.0,26830.71588970162
110,25400.0,26302.59310058327
111,25025.0,25821.46442152265
112,24700.0,25606.26167947953
113,25150.0,25574.36552352004
114,25975.0,25835.059605225622
115,28500.0,25717.39190631617
116,32000.0,26611.99999291282
117,30225.0,28688.51886631625
118,29125.0,28736.507809080715
119,27100.0,27287.21428500252
120,27275.0,26801.452009934263
121,28100.0,26388.34165846256
122,27725.0,26446.882691066246
123,27375.0,26443.077205069618
124,26200.0,26165.10870968644
125,26800.0,25850.31974975213
126,26125.0,26081.84512930695
127,26500.0,25950.27793730815
128,26500.0,25779.32890217844
